StatLevel/internal05,Greater Yang
Story/D_7_3_2_6_020,"Quanzhen and Songshan are made up of Daoist priests and Buddhist monks; apart from Shi Ming, the treacherous bald monk, they all believe in karma. Even if the Nangong family fell out with the Tang Clan, they'd still fear what people would say, so these three forces are secondary ‑ as long as we don't hit them hard, they'll leave some leeway."
Story/D_7_3_2_6_019,"Diancang's base is in Dali; unlike Quanzhen or Songshan, they don't have local adherents to come to their aid, so in a protracted campaign they'll inevitably be depleted. If the Kongtong Sect and Jinxiang Palace can hold off the eastern forces and wear them down until Diancang is forced off the front line, the tide of the situation could be reversed."
Story/D_7_3_2_6_018,"The Tang Clan may appear to be beset on both sides, but in fact it sits where the three sects‑Qingcheng, Emei, and Diancang‑meet the Central Plains official road. It can sever the three sects' ties with the Wulin Alliance, and even if besieged, rely on the terrain to hold out in the mountains."
Story/D_7_3_2_6_017,There are the Kongtong school and the Tang Clan; if Jinxiang Palace can be persuaded to join them‑and with the Mud Cult looming on the sidelines‑it could form a tripartite balance of power.
Story/D_7_3_2_6_016,{size=50}！！{/size}
Story/T_7_3_2_6_001,Zhao Lang smiled without speaking... It seems they'd thought of it long ago.
Story/D_7_3_2_6_015,"The essence of being a hero lies in acting beyond the law, thus causing chaos. Not all Jianghu members are after fame and fortune or clinging to the Imperial Court; they are merely scattered like sand, unable to withstand a single force. The Tang Clan seeks to rise up in rebellion, rallying these people to form the Western Wulin Alliance to counter the Wulin Alliance."
Story/D_7_3_2_6_014,"If the nation faces peril and both court and people are united without reservation, I too support Wulin heroes loyally serving the country. But if petty, short‑sighted villains use others' hands to eliminate dissenters and succeed, they will achieve the effect of kill the chicken to warn the monkey: the Jianghu will fall silent and dare not disobey, and chivalry will cease to exist."
Story/D_7_3_2_6_013,They're completely different. The inferior option is mere bravado; the superior one requires that the righteous cause be on our side.
Story/D_7_3_2_6_012,How is this different from the worst option?
Story/D_7_3_2_6_011,‑declare open war on the Wulin Alliance
Story/D_7_3_2_6_010,"In that case, please hear the best plan I, your humble handmaiden, have devised."
Story/D_7_3_2_6_009,"This method may be clever... but it's not the Tang Clan's style. The worry is that even if it can be hidden for a while, people's resolve will evaporate; once time passes and circumstances change, no one will care what the truth actually was."
Story/D_7_3_2_6_008,"Given time to gather the evidence and lay it open before everyone, we will expose the petty scoundrels' lies and let them reap what they've sown."
Story/D_7_3_2_6_007,"Zhongce sought to divide and conquer by dispersing the Tang Clan throughout Jianghu, making it difficult for the Wulin Alliance to eliminate them all at once. Alternatively, they could follow the example of the Beggar Sect's Gang Master, Jinxiang Palace Master, who would bear all the blame and offer himself up to protect the sect members and their attendants."
Story/D_7_3_2_6_006,"This is bad. I reckon the Tang Clan disciple's thinking, nine times out of ten, will be limited to resorting to an inferior course of action."
Story/D_7_3_2_6_005,"The inferior strategy is to disregard the edict; let him do as he pleases, and I will follow my own path. If pressed too hard, we perish together. We pay no heed to the Wulin Alliance's edict; when they encircle us, we fight back to make them regret their actions."
Story/D_7_3_2_6_004,I would like to hear the details
Story/D_7_3_2_6_003,"You figured it out? That's the one. I have prepared the best plan, the middle plan, and the worst plan."
Story/D_7_3_2_6_002,Three sheets of letter paper‑could this possibly be that?
Story/N_7_3_2_6_001,Xiaoju set down their pen and pushed three folded letters in front of you.
Story/D_7_3_2_6_001,"Zhao Lang, you're here"
Story/N_7_3_2_5_001,"Although Xiao Zhu still squinted in a way that made them look like they were glaring, they had worn a smile for several days. They patiently took on the upkeep of all Tang Clan Disciples' equipment."
Story/D_7_3_2_5_049,Then I'll go improve the Tang Clan's existing Hidden Weapon equipment. It should still be of some use ‑ I must be able to help you.
Story/D_7_3_2_5_048,"Yeah, it's yours"
Story/D_7_3_2_5_047,Oh my!
Story/D_7_3_2_5_046,"Oh, Madam, you flatter me"
Story/D_7_3_2_5_045,There is no one in the world who could be a better husband than you.
Story/D_7_3_2_5_044,Protecting your heart is my duty as the sect leader.
Story/D_7_3_2_5_043,"They actually agreed, huh"
Story/D_7_3_2_5_042,"Alright... alright, I'll do as you say."
Story/D_7_3_2_5_041,"If you're so moved, how about helping me have a big, chubby baby?"
Story/D_7_3_2_5_040,Why are you so good to me? How can I ever repay you?
Story/D_7_3_2_5_039,That goes without saying ‑ it's definitely me!
Story/D_7_3_2_5_038,"We're even. Tell me, which of us is a bit luckier, you or me?"
Story/D_7_3_2_5_037,"Xiao Zhu, actually I'm not much of a good person. I don't really care about the fate of the common people. I'm very selfish ‑ I've always only cared about those close to me. I just can't bear to see you so anxious, blaming yourself all day."
Story/D_7_3_2_5_036,"Xiaozhu is so fortunate to have a confidant like you ‑ it's truly a blessing across three lifetimes. Thank you, thank you! I'm truly overjoyed."
Story/T_7_3_2_5_001,"Cluck‑ugh, my ribs!"
Story/D_7_3_2_5_035,Zhao Huo!
Story/D_7_3_2_5_034,Your talent ought to be used for peaceful purposes. Craft ingenious wooden armored toys to amuse children‑bringing benefit to the world is enough.
Story/D_7_3_2_5_033,"We have our own ways. The fate of the Tang Clan concerns everyone. Even if it perishes, its downfall is predetermined by destiny‑it is what others owe us, not something we undertake for our own selfish reasons and harm a myriad of people. Nor should it be borne solely by you, little miss."
Story/D_7_3_2_5_032,But... but what about the Tang Clan's crisis?
Story/D_7_3_2_5_031,I'm going to burn this blueprint. This weapon's killing intent is far too strong ‑ it would bring death and suffering to all living beings. You must not bring it into the human world.
Story/O_7_3_2_5_002,Destroy the blueprints
Story/D_7_3_2_5_030,"Mm... okay. Make sure‑absolutely make sure‑to destroy it, okay?"
Story/D_7_3_2_5_029,"I guarantee that once we've driven back the Wulin Alliance, we'll destroy these weapons and the blueprints and never allow them to be leaked. Is that acceptable?"
Story/D_7_3_2_5_028,...That seems to make some sense.
Story/D_7_3_2_5_027,"They were fine ‑ if they hadn't come courting death, why would we have had to forge such weapons to protect ourselves? Every wrong has someone to blame and every debt has an owner; we ought to go and hold them to account."
Story/D_7_3_2_5_026,"I thought you wanted to shoulder the blame alone, how does this involve the Alliance Leader?"
Story/D_7_3_2_5_025,"I promise, once we've driven off the Wulin Alliance, we'll destroy these weapons and blueprints and never let them leak. You're only drawing the plans; I'm the one who forges them. If Lord Yama wants someone to blame, I'll... I'll pin it on the leader of the Wulin Alliance."
Story/D_7_3_2_5_024,It's... it's to‑to protect our homeland.
Story/D_7_3_2_5_023,In order to protect our homeland
Story/D_7_3_2_5_022,Ah...
Story/D_7_3_2_5_021,Let's forge this weapon
Story/O_7_3_2_5_001,Leave the blueprints
Story/D_7_3_2_5_020,"...Xiao Zhu, you possess extraordinary talent. The design depicted in this blueprint can be considered the ultimate Hidden Weapon; if used in warfare, it could even influence the fate of the nation."
Story/D_7_3_2_5_019,"Many people might die because of me. I don't want my invention to be abused or for future histories to label me a criminal. When I reach the underworld, who will be held accountable for this debt? But I can't just stand by and watch everyone die‑what should I do?"
Story/D_7_3_2_5_018,"But... but this has already far exceeded the conflicts among Wulin sects. If it were to get out, it could even be used in wars between nations."
Story/D_7_3_2_5_017,"Zhao Huo, I... should I burn these plans? When I drew them I was filled with Anger, thinking I would take revenge in my own way."
Story/D_7_3_2_5_016,"They can even fire in rapid succession, leaving no way out."
Story/D_7_3_2_5_015,"Also, the arrow magazine is box‑shaped for quick reloading, allowing sustained fire to suppress the enemy."
Story/D_7_3_2_5_014,"By making good use of the Tang Clan's high‑ground advantage, one can shoot farther."
Story/D_7_3_2_5_013,I test‑fired the prototype; with a favorable wind it can reach at least a hundred paces.
Story/D_7_3_2_5_012,"This linked rocket is an improved version of the Tang Clan's meteor arrows and thunder‑fire bombs. Gunpowder is packed into tubes and connected with cotton fuses in a chain; once the ignition arrow fires, the others shoot out en masse, continuing until all the ammunition is spent."
Story/D_7_3_2_5_011,...Can you tell what these blueprints are for?
Story/D_7_3_2_5_010,Th‑this... Th‑this...!
Story/D_7_3_2_5_009,"...Are you ready? Let me say up front: although these things were my own ideas, they still send a chill down my spine. I can't help feeling anxious‑should I really bring something like this into the world?"
Story/D_7_3_2_5_008,What are you doing?
Story/D_7_3_2_5_007,"I did it. Because I'm timid, I've always kept myself on guard and stayed prepared even in peaceful times."
Story/D_7_3_2_5_006,"I may not have Master Wei's talent for grand strategy, but haven't you always told me there are some things only I can do?"
Story/D_7_3_2_5_005,Wait a moment
Story/D_7_3_2_5_004,"Alright, I won't push you; I'll think about it myself."
Story/D_7_3_2_5_003,Don't make that kind of joke‑it's really scary!
Story/D_7_3_2_5_002,"Sigh ‑ neither of us has the makings of a great general. You're the artisan in skillful artisan, and I might well end up the sauce in meat sauce."
Story/D_7_3_2_5_001,...You're asking the wrong person; how would I know?
Story/T_7_3_2_4_001,"I want to have you all to myself, but I don't want you later to harbor regret and blame me for being overbearing. Any extra days we've been given are pure windfalls; if we cling to them any longer, it would be greedy."
Story/D_7_3_2_4_019,"...As your master, I never had the chance back then to live and die alongside the Snow Mountain Sect, so I can't deprive you of your right to die for them."
Story/D_7_3_2_4_018,"Mm, go ahead"
Story/D_7_3_2_4_017,Very well ‑ this disciple will take their leave now.
Story/D_7_3_2_4_016,Oh
Story/D_7_3_2_4_015,"In short, I won't interfere with your decision‑making; at most I'll lend a hand. Don't come to me about this kind of thing."
Story/D_7_3_2_4_014,Not exactly
Story/D_7_3_2_4_013,So what? I support whoever I want to support‑what's wrong with that?
Story/D_7_3_2_4_012,"Master, could it be that whatever I say, you always say I'm right?"
